호선,역,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2호선,신당,30,7,"6,024","1,257","12,411","7,715","33,849","15,997","56,467","31,783","30,870","22,896","21,186","19,039","20,691","21,100","22,736","21,658","23,139","22,147","22,202","22,536","23,361","25,609","27,202","30,715","31,058","42,936","34,831","63,361","22,917","39,750","19,505","24,774","17,911","22,668","16,431","20,667","7,916","12,072","1,608","3,817",0,30,0,0,0,0,2025-08-03 10:00:47
2호선,상왕십리,5,1,"6,369",876,"16,074","6,705","45,274","12,962","69,405","32,123","39,344","20,026","23,502","15,010","20,656","14,379","21,439","15,412","21,107","17,871","18,550","18,577","20,101","21,664","23,018","27,056","26,910","37,486","28,371","60,749","18,517","39,113","12,498","26,029","11,255","23,938","7,568","22,591","2,876","13,269",537,"4,308",0,19,0,0,0,0,2025-08-03 10:00:47
2호선,왕십리(성동구청),588,6,"6,442",980,"10,500","8,227","28,827","14,469","48,509","28,604","30,409","22,003","20,497","16,473","20,392","17,801","23,850","19,723","23,309","21,070","22,922","21,461","24,952","22,971","31,159","27,544","36,229","38,131","36,390","60,253","23,847","35,846","22,865","23,429","24,368","21,159","23,589","21,081","12,617","13,332","2,356","4,892",0,39,0,0,0,0,2025-08-03 10:00:47
2호선,한양대,2,1,"1,106",766,"2,790","8,093","6,386","11,653","9,949","39,433","7,584","51,863","6,586","21,053","11,956","13,024","13,488","18,761","16,551","19,623","14,192","13,524","17,166","11,073","26,236","10,345","40,317","11,438","37,080","13,685","16,491","9,241","11,116","6,943","11,029","6,550","8,359","6,440","4,783","4,387","1,011","1,361",0,7,0,0,0,0,2025-08-03 10:00:47
2호선,뚝섬,19,0,"3,959","2,458","9,721","17,556","20,911","45,772","28,078","156,411","18,531","107,571","16,335","48,416","19,394","38,847","23,760","38,663","28,617","40,236","34,510","35,368","41,654","36,601","52,420","38,265","89,334","43,606","147,726","53,302","74,949","31,696","53,156","17,619","45,521","14,747","27,426","12,834","10,760","7,989","1,546","2,612",0,55,0,1,0,0,2025-08-03 10:00:47
2호선,성수,120,4,"5,678","5,291","9,376","38,332","22,306","84,657","29,348","274,722","23,888","180,557","23,135","113,038","29,646","105,472","41,767","107,655","56,879","109,864","71,511","103,762","93,708","100,852","123,015","97,345","188,559","95,216","299,491","94,725","164,652","55,638","136,070","28,660","114,972","19,456","74,220","15,934","25,264","11,251","3,672","5,695",1,847,0,0,0,0,2025-08-03 10:00:47
2호선,건대입구,314,5,"15,929","1,784","23,357","15,329","59,554","25,711","98,620","59,232","66,775","51,167","41,490","43,899","38,577","46,246","44,172","52,773","47,317","58,814","48,106","57,261","53,232","63,647","64,753","76,151","76,346","101,450","87,938","152,635","65,623","105,280","67,208","65,809","71,814","63,990","69,290","56,198","40,073","32,365","7,087","12,297",5,"1,069",0,0,0,0,2025-08-03 10:00:47
2호선,구의(광진구청),97,6,"14,704","1,404","30,773","12,941","83,271","19,708","131,245","49,170","78,147","28,348","42,996","27,155","34,216","28,613","36,538","30,958","37,305","34,203","36,042","35,164","37,802","42,143","42,992","49,963","46,843","71,376","55,892","114,896","30,971","81,156","25,606","52,652","24,751","50,872","19,941","45,101","9,367","25,156","1,613","8,020",0,93,0,0,0,0,2025-08-03 10:00:47
2호선,강변(동서울터미널),45,1,"9,542","1,700","24,128","20,748","72,558","21,631","105,556","41,970","75,455","35,638","60,032","31,927","50,422","31,390","45,333","34,480","42,732","38,940","39,255","41,603","42,427","49,910","47,073","52,532","53,711","69,914","56,588","96,808","36,328","64,015","28,064","45,056","24,284","38,866","15,387","34,460","5,962","17,658",990,"4,383",1,7,0,0,0,0,2025-08-03 10:00:47
2호선,잠실나루,6,0,"4,015","3,197","14,783","18,499","42,992","24,625","50,658","40,502","32,586","24,162","25,295","18,955","24,124","16,413","22,904","20,837","20,935","21,137","22,043","19,157","25,122","19,744","33,064","21,286","40,447","28,953","31,689","42,987","15,514","30,387","11,180","19,179","8,155","19,183","5,991","17,560","2,648","9,117",427,"2,681",0,5,0,0,0,0,2025-08-03 10:00:47
2호선,잠실(송파구청),56,2,"14,383","5,539","56,691","37,554","135,119","86,626","178,261","191,256","125,728","167,448","87,372","138,318","88,236","129,584","99,763","129,657","109,124","134,543","120,367","132,838","145,014","142,883","178,813","158,481","222,020","199,080","255,705","261,569","176,718","168,098","171,264","109,330","161,415","103,352","109,035","90,899","34,346","47,354","5,523","9,917",0,24,0,0,0,0,2025-08-03 10:00:47
2호선,잠실새내,55,1,"6,066","1,038","20,976","9,946","67,356","18,335","87,503","32,080","54,755","32,939","37,720","26,813","34,823","28,905","37,131","31,833","36,511","37,126","33,961","40,583","37,728","46,014","41,811","55,683","46,569","71,897","47,248","97,426","33,780","63,086","29,241","39,402","29,787","36,654","30,230","32,430","16,248","16,622","2,954","4,876",1,13,0,0,0,0,2025-08-03 10:00:47
2호선,종합운동장,4,0,"1,784","1,716","6,935","15,249","19,007","18,269","25,050","28,024","17,091","14,567","13,221","12,914","13,322","14,467","15,523","17,295","16,206","17,676","17,549","20,807","18,425","30,734","21,672","62,441","24,115","140,125","21,063","100,737","12,914","27,417","33,100","14,110","159,821","15,760","69,910","12,384","6,752","5,899",395,"1,632",6,116,0,0,0,0,2025-08-03 10:00:47
2호선,삼성(무역센터),180,3,"7,275","6,941","7,909","60,209","15,785","160,939","21,015","353,345","21,479","272,634","26,036","136,436","40,742","98,590","54,295","90,820","70,059","94,623","89,266","81,369","115,273","71,552","155,846","66,159","267,681","73,079","330,107","67,522","173,043","36,867","132,941","21,124","111,470","17,445","70,454","13,442","18,759","6,887","2,273","3,587",3,"1,136",0,0,0,0,2025-08-03 10:00:47
2호선,선릉,127,3,"4,894","6,915","12,804","50,443","24,770","146,560","39,561","317,082","37,829","233,381","42,564","110,579","53,122","72,851","65,213","71,739","73,546","77,750","82,275","60,733","109,781","54,195","142,722","55,473","244,125","63,002","328,068","66,334","161,774","41,822","104,372","26,887","95,580","25,039","81,760","21,134","27,112","11,930","4,452","4,886",4,83,0,0,0,0,2025-08-03 10:00:47
2호선,역삼,19,2,"4,089","6,810","9,360","50,942","16,726","180,390","28,004","409,010","26,149","330,145","27,175","133,987","37,300","68,285","43,998","61,870","50,717","67,602","61,702","51,712","82,743","45,329","112,334","44,904","257,025","54,038","313,752","62,986","169,147","37,844","94,246","24,212","85,887","21,292","57,218","18,279","21,315","10,803","3,795","3,497",1,31,0,0,0,0,2025-08-03 10:00:47
2호선,강남,113,14,"8,383","12,986","18,971","63,122","45,693","178,886","68,248","353,707","56,010","368,214","57,275","172,607","76,362","111,997","95,709","109,690","112,472","125,725","124,348","111,030","151,661","104,562","181,908","113,170","288,367","150,413","362,158","193,998","237,543","109,700","183,854","62,558","202,317","56,505","174,999","46,994","76,420","23,525","13,019","6,608",0,32,0,0,0,0,2025-08-03 10:00:47
2호선,교대(법원.검찰청),22,0,"2,883","6,969","11,699","28,449","26,577","63,166","37,977","174,770","30,202","141,384","27,450","74,269","32,860","60,352","36,336","55,499","43,882","60,176","50,791","50,896","55,972","46,690","62,713","49,400","105,161","65,958","146,903","74,374","65,604","42,769","54,086","27,118","53,745","24,869","40,339","23,796","15,846","11,952","3,018","3,368",0,11,0,0,0,0,2025-08-03 10:00:47
2호선,서초,9,0,"1,896","5,097","9,828","26,904","20,305","58,665","31,401","123,435","29,322","90,518","22,322","43,250","30,859","33,958","27,019","26,453","34,070","28,543","34,455","26,753","44,354","23,189","53,077","24,887","83,162","27,336","102,289","29,711","42,704","20,563","31,544","13,682","31,349","12,924","17,931","12,335","6,289","6,324","1,077","1,580",1,14,0,0,0,0,2025-08-03 10:00:47
2호선,방배,2,1,"2,752","3,852","9,596","14,139","23,479","29,290","32,448","70,726","25,277","46,786","18,469","22,985","19,057","18,442","22,154","20,221","22,460","21,006","23,372","20,341","26,134","20,765","32,404","22,526","45,357","30,789","60,968","36,929","27,612","25,200","21,240","17,166","20,469","16,133","15,873","17,008","5,770","8,881","1,233","2,742",0,24,0,0,0,0,2025-08-03 10:00:47
2호선,사당,135,4,"14,532","4,385","34,253","34,727","89,625","50,316","113,212","75,795","81,656","53,932","52,552","45,405","48,102","56,795","53,601","54,977","55,921","54,779","59,057","54,671","61,875","67,444","67,819","90,118","86,638","140,312","107,046","193,475","70,618","126,811","68,214","76,898","78,121","73,224","73,815","70,787","40,274","40,842","6,964","11,474",2,555,0,0,0,0,2025-08-03 10:00:47
2호선,낙성대(강감찬),44,1,"12,622","2,608","29,747","9,840","93,139","20,215","135,806","44,666","86,797","36,544","47,570","26,047","38,384","26,478","42,552","28,130","40,809","29,280","35,775","30,871","36,583","38,441","41,083","45,209","49,686","65,504","55,141","109,205","30,765","89,448","23,963","59,105","21,892","56,176","15,944","56,322","8,182","33,996","1,532","9,545",1,117,0,0,0,0,2025-08-03 10:00:47
2호선,서울대입구(관악구청),"5,063",28,"29,671","3,351","48,950","15,240","138,926","29,441","187,939","75,894","124,407","66,321","72,118","49,036","60,265","46,330","69,251","49,078","69,476","53,448","61,926","55,998","65,286","64,591","73,867","77,868","86,324","110,757","95,717","181,654","55,113","145,725","48,431","90,684","47,625","86,543","41,184","88,178","20,568","50,507","3,870","18,288",1,"3,785",1,0,0,0,2025-08-03 10:00:47
2호선,봉천,86,3,"16,258","1,365","32,168","7,734","93,375","15,981","132,100","31,341","81,508","24,988","44,228","22,028","36,480","24,416","37,666","25,753","36,502","27,862","33,667","31,748","31,205","39,372","33,602","45,944","37,099","63,918","36,547","98,934","22,387","80,137","19,100","50,001","15,990","45,668","12,340","43,878","5,044","25,244",969,"7,938",2,631,0,0,0,0,2025-08-03 10:00:47
2호선,신림,198,13,"39,037","4,368","74,219","18,331","197,809","30,305","286,627","50,736","173,364","46,403","93,409","42,268","76,317","46,558","81,451","52,056","76,561","59,293","70,014","65,652","68,343","82,485","75,954","100,192","78,634","139,082","81,665","236,826","55,041","200,263","48,417","130,180","44,765","126,370","37,508","118,415","20,815","74,959","4,754","24,551",2,397,0,0,0,0,2025-08-03 10:00:47
2호선,신대방,314,1,"25,835","2,216","37,568","9,806","98,325","16,281","136,584","25,976","84,465","19,299","45,214","18,530","35,053","19,205","36,087","21,794","33,733","25,033","28,418","29,177","28,242","37,546","32,111","45,661","34,275","61,896","32,067","96,421","21,200","82,005","16,505","56,155","13,558","58,949","10,487","56,406","5,099","31,590",942,"9,491",1,66,0,0,0,0,2025-08-03 10:00:47
2호선,구로디지털단지,465,14,"39,968","5,486","56,907","22,450","149,496","93,527","195,742","241,921","116,890","151,652","68,851","61,302","61,770","47,188","69,429","53,234","66,817","65,531","60,917","61,705","69,356","67,252","87,434","80,188","148,727","113,293","220,092","170,543","107,554","134,075","67,971","86,518","55,204","87,459","41,535","85,397","19,240","48,454","3,768","14,733",1,136,0,0,0,0,2025-08-03 10:00:47
2호선,대림(구로구청),774,17,"36,059","3,350","31,539","11,836","72,690","24,960","100,601","56,383","64,838","37,005","39,356","32,207","34,612","33,068","35,590","32,888","33,836","31,364","31,174","32,596","32,280","40,025","36,417","47,179","44,742","60,770","50,594","70,815","26,360","53,765","19,501","40,809","14,983","51,083","10,837","48,356","5,467","23,230",858,"5,884",2,135,0,1,0,0,2025-08-03 10:00:47
